Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
TL Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 100 Mbps (HA) + Yönetim Hizmeti;Adet;44586.51
TL Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 200 Mbps (HA) + Yönetim Hizmeti;Adet;45223.28
TL Fiyat Listesi;Cloud DNS Hizmeti;per Domain;29.53
TL Fiyat Listesi;cPanel Admin Lisansı (Up to 5 Accounts);Adet;1852.14
TL Fiyat Listesi;cPanel Premier Lisansı (Up to 100 Accounts);Adet;3601.81
TL Fiyat Listesi;cPanel Pro Lisansı (Up to 30 Accounts);Adet;2778.43
TL Fiyat Listesi;cPanel Solo Lisansı (1 Account);Adet;1543.38
TL Fiyat Listesi;Cross Connection Port Hizmeti;Adet;9005.64
TL Fiyat Listesi;FortiGate 100F Fiziksel Dedike Firewall;Adet;47986.05
TL Fiyat Listesi;FortiGate Fiziksel Dedike Firewall Yönetim Hizmeti;Adet;9317.98
TL Fiyat Listesi;FortiGate FG-VM01V UTP 12 Ay;Adet;17895.82
USD Fiyat Listesi;CSP - Microsoft Visio Plan 2;per User;17.05
USD Fiyat Listesi;CSP - Office 365 E1;per User;7.73
USD Fiyat Listesi;CSP - Office 365 E3;per User;16.43
USD Fiyat Listesi;CSP - Office 365 E5;per User;33.49
USD Fiyat Listesi;Ubuntu Pro + Infra Support (24/7) - Virtual;per VM;160.17
